date,name,age,city,state,description,link
2012-01-09,Zepeda Laura,41,San Antonio,Texas,Officer pursuing a stolen vehicle drove through a red light and collided with a vehicle not being pursued. The driver of the vehicle suffered severe head trauma and died on May 4 2012. [25],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-12,Browne Duane,26,Brooklyn,New York,Officers responded to a report of an armed home invasion. When they arrived Dale Ogarro stepped out of the door with his hands up and told the officers there was not a problem. Moments later Duane Browne came out the door with a handgun. The officer fatally shot Browne with a single bullet when he failed to “freeze” and made a move. Browne lived with the Ogarro and had responded to the home invasion. [20],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-12,Ehlers Gregory,34,Hallandale Beach,Florida,Ehlers was fatally shot by officers investigating a recent theft of items from a store. [21] [22],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-12,Long Robert,,Rayton,Missouri,"Long was in his front yard when Officers responding to a ""shots fired"" call arrived. Long was armed with a rifle and threatened to kill his roommate and officers. Officers fired when Long pointed the rifle at them. [23]",http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-13,Mayba Maksim,21,Federal Way,Washington,An officer moved to arrest men in a parked car that she suspected were engaged in a drug deal and ordered a man to show his hands. When Mayba did not do as ordered the officer fired twice killing him. [19],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-16,unnamed male,,Nassau County,New York,Police responded to report of a home invasion and found multiple people bound. A shoot-out ensued during which one burglar was killed and the other surrendered. [18],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-19,Cambridge Roscoe,29,Anaheim,California,According to police Cambridge approached an officer sitting in his cruiser in a parking lot while holding a large kitchen knife. The officer shot him to death. A knife and a bible were reportedly found near his body. [17],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-22,Kirk Beverly,43,Pleasant Grove,Texas,A police officer in a marked car with lights and siren off was following an ambulance with lights and siren on. The officer struck Kirk when she “failed to yield the right of way to the marked police car.” [15],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-22,Ruiz Elias Angel,18,Medford,Oregon,Officers responded after the teenager called 911 making suicidal threats. They found Ruiz on his front porch waving a butcher knife and attempted use of a stun gun. When that did not subdue him another officer shot him to death. [16],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-23,Kenney Christopher,23,Stone Mountain,Georgia,Kenney was shot in a stolen pick-up truck after being cornered by 10 officers who blocked him in using their vehicles. Officers broke the truck window and tased Kenny multiple times as he rammed his truck into the squad cars and then was shot by officers. Kenney had several outstanding warrants and was a primary suspect in several vehicle theft cases. [13],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-23,Rodriguez Steven,22,Monterey Park,California,Rodriguez had broken all of the windows in a restaurant with a metal bar when officers confronted him in the parking lot. An officer attempted to fire a taser at him and Rodriguez allegedly approached that officer with the metal bar. Another officer fired 10 shots at Rodriguez killing him. [14],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-24,Flener Edward,72,Chandler,Arizona,Officers shot and killed Flener after he allegedly pointed a gun at them. Police were responding to a report of a suicidal man. [10],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-24,Carlson Kevin,,Mesa,Arizona,Undercover officers attempted to arrest Carlson on parole violations. When the officers turned on the flashing lights of their unmarked vehicle Carlson and another man started shooting. The officers returned fire hitting both men and killing Carlson. [11] [12],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-25,Morgan Brad Lee,21,Portland,Oregon,Morgan called 911 saying he had committed a robbery and was going to jump off a building. He told the dispatcher he might be armed. Two officers located him atop a parking garage and when they approached Morgan he pointed a black handgun at them. The officers shot him to death. The gun turned out to be a toy that had been spray painted. [9],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-26,Kissane Christopher,,Brooklyn,New York,Shot below his right eye by an off-duty officer. Kissane 22 had just committed several armed robberies and shot at officers before he was killed. [8],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-27,McKinney Larry M.,37,Fairview,Oregon,Larry's mother called 911 when her son showed up at her apartment drunk and she feared he would play loud music and get her evicted. She waited outside of her 2nd story apartment and met officers when they arrived. McKinney emerged at the top of the staircase holding a kitchen knife and officers shot him to death after ordering him to drop the weapon. [6],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-27,Covarrubias Alberto Jr.,29,Santa Maria,California,Covarrubias a Santa Maria police officer was shot and killed by a fellow officer as supervisors struggled to arrest him for an alleged sexual relationship with a 17-year-old Police Explorer. [7],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-28,Prostrollo Jason Edward,,Scottsdale,Arizona,Prostrollo was shot to death by officers after holding pool cues in a threatening manner and approaching officers. Police had responded to a 911 call from a woman who said a man with a knife was fighting with her boyfriend. [5],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-29,Spalding Jackie Jr.,,Bluewell,West Virginia,State troopers and county officers responded to a report of a man armed with a rifle and found Spalding in a vehicle behind a cemetery mausoleum. Spalding refused State Trooper J.R. Coburn's commands to show his hands and reportedly began to reach for his rifle and the trooper shot Spalding to death. [3] [4],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-30,White Antwain,17,Brooklyn,New York,Shot once in the chest after hitting an off-duty detective in the face with a wooden cane. White and another individual had approached the detective from behind in an attempt to mug him. [2],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-31,LaMadeleine Raymond,,Roy,Washington,Officers were serving an arrest warrant to Roy after he had threatened to kill neighbors and shot at them. When police and SWAT arrived LaMadeleine allegedly began firing at them with an assault rifle and they shot him to death with one round. [1],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-02-01,Haskell Danny,39,Lake Havasu City,Arizona,Police responded to report of a potentially suicidal man who reportedly threatened to also kill five children who were with him. Arriving officers heard screams just prior to Haskel exiting the residence with a handgun in his hand. Officers shot at Haskell who returned fire. Haskell was struck at least twice and died at the scene. [29],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-01,Watts Stephon,15,Calumet City,Illinois,Shot by two officers in his home after his parents called police to help subdue Stephon their autistic son. Police had visited the home under similar circumstances 10 times in the previous two years. Watts struck an officer with a kitchen knife before receiving multiple shots to the upper torso. [30] [31],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-01,Baires Jason,23,Las Vegas,Nevada,Killed in a shootout with police. Baires was wanted for the murder of his mother's boyfriend. [32],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-02,Graham Ramarley,18,Bronx,New York,Graham was shot once in upper left chest after being chased into his home by plainclothes officers. The unarmed Graham was running into the bathroom to flush marijuana down the toilet. [26] The NYPD officer who shot Graham Richard Haste was charged with manslaughter in June 2012 and was released on $50000 bail. The charge against Haste was later dropped. Haste claimed that he saw a weapon on Graham's body and that Graham ignored demands to put his hands in the air. [27] [28],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-07,Loggins Manuel Jr,,Los Angeles,California,Loggins crashed his vehicle into the gate of a high school. He exited the vehicle and left his two daughters behind in the vehicle. An officer heard the crash and arrived at the scene and checked on the girls in the vehicle. As Loggins returned to the vehicle he ignored the officer's commands to show his hands and stay clear of the vehicle. When Loggins shifted into reverse the office fired three times. Loggins died of his wounds in a hospital. [24],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-07,unnamed male,54,Phoenix,Arizona,Shot numerous times by an officer after allegedly pointing a handgun at two officers. The 54-year-old man was suspected of holding his estranged wife and her boyfriend hostage. [25],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-07,Jones Cory,27,Richardson,Texas,The suspect tried to board a bus and argued with the driver. An officer responded to the disturbance and chased the suspect on foot. The suspect shot and injured the officer and two bystanders one of whom later died. Another officer chased the suspect into a building and fatally shot him. [33],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-08,Mulqueen Tim,,Long Island City,New York,Mulqueen entered the city courthouse and opened fired towards officers near the entrance. One officer was injured. Officers returned fire fatally wounding Mulqueen. [22],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-08,Henninger Joseph M.,,Poulsbo,Washington,Shot by officers called to the scene for reports of a handgun being fired inside of a Les Schwab store. [23],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-09,Cook Patricia,54,Culpepper,Virginia,Officer Daniel Harmon-Wright shot and killed Cook who was unarmed in her vehicle while she tried to drive away. The officer was summoned by a call about a suspicious person in the parking lot of a Catholic middle school. Harmon-Wright was fired in June 2012 and will go to trial in January 2013. [20] [21],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-11,unnamed male,,Chicago,Illinois,An off-duty police officer responded to a crashing sound near his home. The officer wearing a police uniform shirt drove to the source of the sound and found a person attempting to force open a garage door by ramming it with a van. The officer parked behind the van identified himself as an officer and attempted to arrest the driver and passenger. The driver rammed the officer's car and knocked the officer to the ground. As the driver aimed the van at the officer he shot the driver. The passenger escaped on foot. The driver died of gunshot injuries at the hospital. [18],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-11,unnamed male,,Decatur,Georgia,Police responded to report of a carjacking. Officers followed the suspect in the stolen vehicle then on foot into a wooded area. A shootout ensued. A gun was recovered at the scene. The suspect died of gunshot wounds in a local hospital. [19],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-13,Banks William,26,Pleasant Grove,Texas,Police were searching for a man who robbed a couple at gunpoint then fled in a vehicle. Police gave chase to a matching vehicle. Banks fled on foot. When police caught up to Banks he turned and confronted them with a handgun. Several officers fired multiple times. Banks died at a hospital. [17],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-14,McBride Michael,52,New York City,New York,Officers were pursuing McBride as a murder suspect. McBride fired at officer who returned fire killing McBride. 19 shots were exchanged in a crowded subway. [15],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-14,Loxas John,,Scottsdale,Arizona,Loxas was allegedly holding his baby grandson when an argument with neighbors led to him brandishing a handgun at them. They called the police. Officer James Peters shot Loxas in the head while he was still holding the baby. He was not holding a gun at the time. [16],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-15,unnamed male,,Waukegan,Illinois,Officers responded to report of a man with a gun at a hotel. When the officers arrived the man pulled out a handgun. An officer fired one shot killing him. [14],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-16,unnamed male,,Long Beach,California,One federal agent shot and injured another agent over a disciplinary matter. A third agent shot and killed the first agent to prevent him from shooting the injured agent again. [13],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-18,Bond Danny James,38,Riverside,California,Two officers tried to stop Bond on his bicycle to arrest him on outstanding warrants and he fled on foot. Two officers shot him to death after he allegedly pulled out a pistol. [10],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-18,Kelley David,54,Mesa,Arizona,Police were called to a home where a man reportedly armed with a knife was holding a woman hostage. The man refused to drop his knife or release the woman and officers shot him to death. [12],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-19,Fleming Harold,40,St. Petersburg,Florida,Fleming a quadriplegic was crossing a street in a wheelchair around 4 a.m. when he was struck by Officer Mehmedin Karic's speeding cruiser. Fleming was killed by the accident and Karic was cited for careless driving (three months later). On August 2 2012 Karic was fired for violating traffic laws and driving carelessly. [8] [9],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-21,unnamed male,,Paramount,California,Man was shot twice after attempting to take an officer's gun. [7],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-23,Barnum Jeremiah,38,Englewood,Colorado,Barnum confronted an officer in a store parking lot. Officers report seeing Barnum reach for a gun in his waistband. As Barnum backed his vehicle away he nearly hit an officer. Officers fired six times. [6],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-24,Runge Chad,20,Cedar Park,Texas,Police responded to a report of an armed robbery. When officers arrived a witness identified the fleeing suspect. During the foot chase an armed Runge confronted an officer and was fatally shot. [4],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-24,Henderson Travis,52,Dallas,Texas,Police responded to report of suicidal man. Police located Henderson in a vehicle and heard a gunshot. A SWAT team responded and negotiators work the situation for three hours. Henderson exited his vehicle and pointed his gun at officers without firing it. He was shot to death by an officer. [5],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-29,Baker Michael Joseph,32,Claxton,Tennessee,The incident began when Baker and Richardson allegedly drove off without paying for gas. A high-speed chase ensued during which police say Richardson shot at officers from the stolen truck they were driving. The truck crashed and the shootout continued ending when two officers shot and killed both suspects who were on an array of drugs at the time. [2],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-29,Shanna Lee Richardson,25,Claxton,Tennessee,,
2012-02-29,unnamed male,,Jonesboro,Georgia,Officers responded to report of an armed robbery of a restaurant and located the suspect in a neighborhood. The suspect shot at police fled on foot carjacked a car with a baby in it crashed the car into a home then fled on foot into the home of his sister. There he remained held up for a couple of hours with police surrounding. When he began shooting at police they returned fire killing him. [3],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-02-29,Gilmore Anthony Paul Jr.,23,San Bernardino,California,Gilmore fled during a traffic stop when asked if he had a weapon. A struggle with an officer ensued and the officer shot and killed Gilmore after he reached for a gun that had fallen to the ground. [1],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_February_2012
2012-03-01,Dunbar Brandon James,26,Riverside,California,Dunbar was killed during a foot chase after he fled a traffic stop. He allegedly turned toward the officer while holding a gun and the officer shot him to death. [26],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_March_2012
2012-03-06,Hernandez Marin Angel,,Anaheim,California,Shot to death after turning towards an officer with a shotgun in hand. [23],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_March_2012
2012-03-06,Berry Daryl Jerome,45,Brush Creek Township,Pennsylvania,An officer stopped to investigate a two-vehicle collision and became involved in a struggle with one of the drivers. The suspect repeatedly struck the officer with a metal flashlight. The officer fatally shot the suspect. [24] [25],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_March_2012
2012-03-07,Escalante Luis Anthony,29,Dallas,Texas,Escalante and another suspect stole a vehicle by showing a man a gun and asking for the keys to his car. Officers traced the vehicle using an electronic tracking device installed in the vehicle. Officers approached the vehicle in a parking lot and ordered the occupants to show their hands. Escalante put the vehicle in reverse and drove towards two officers. Three officers fired at least 15 rounds. Both occupants were injured. Escalante died in a local hospital. Escalante's gun was later determined to be a pellet gun. [22],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_March_2012
2012-03-10,Smart Marquez,23,Wichita,Kansas,Officers began chasing Smart when he happened to run toward them after allegedly firing at least two shots from a semi-automatic handgun. Officers fired at him multiple times when he refused to drop the weapon and eventually shot him to death in an alley. Four other people three of them teenagers were wounded by gunfire either from Smart or the officers. [21],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_March_2012
2012-03-11,unnamed male,,Garvin,Oklahoma,One officer pursued a driver with a shotgun inside his truck. The driver stopped and exited the vehicle with the weapon in hand. The officer fatally shot the suspect. [20],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_March_2012
2012-03-14,Scott Jr. Dane,,Del City,Oklahoma,Scott was shot in the back after running from police. The shooter Capt. Randy Trent Harrison was charged with manslaughter. [18] On November 26 2013 Harrison was convicted of the charge. [19],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_March_2012
2012-03-15,Duey Kevin Charles,44,Arnold,California,"Officers were responding to a ""shots fired"" call. When they arrived on the scene Duey was shooting and refused orders to drop the weapon. Duey then pointed the weapon at officers and started to move towards some nearby houses. The Officer shot once fatally striking Duey. [15] [16]",http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_March_2012
2012-03-15,Torres Javier,50,San Antonio,Texas,Officers arrived at Torres' home after he called a crisis hotline regarding his contemplating suicide. Torres was not there but police found him walking down a road carrying a handgun. As the officers approached Torres he fired at them. They returned fire. Torres died at a local hospital. [17],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_March_2012
2012-03-16,Newmaker Jacob,,Fortuna,California,"Newmaker was shot to death after allegedly grabbing an officer's baton and striking him with it. Police had responded to a report of a man screaming in his front yard and reportedly attempted to subdue him with ""verbal commands pepper spray baton strikes control holds and a Taser."" [14]",http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_March_2012
2012-03-17,Newcomb Daniel Guy,33,Virginia Beach,Virginia,Officers were chasing Newcomb as a robbery suspect. He pointed a gun at the officers who shot and killed him. It was later determined that the gun was a toy submachine gun. [13],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_March_2012
2012-03-20,Blomberg Kenneth,33,Hemet,California,Blomberg had attacked his girlfriend and threatened to burn down her house. Police discovered Blomberg hiding behind some bushes at a house near his parents armed with a rifle. Officers ordered him to drop the weapon and come out. Blomberg then allegedly leveled the rifle (possibly a BB Gun)) towards the officer. The Officer fired one shot fatally striking Blomberg. [11],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_March_2012
2012-03-20,Doll Phillip Steven,,Tulsa,Oklahoma,"Doll was a ""person of interest"" in the murder of his girlfriend. He was shot and killed by a police officer responding to a home invasion. The officer found Doll crouched over an elderly victim Doll then lunged at the officer. [12]",http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_March_2012
2012-03-21,Boyd Rekia,,Chicago,Illinois,An off-duty detective rolled down his car window and asked a group of people gathered near Douglas Park to quiet down. In response police say a 39-year-old man pointed a gun at the officer who drew his own weapon and fired. The bullets hit the alleged gunman in the hand and Rekia Boyd who was unarmed in the head as she stood nearby. Witnesses said that no one pulled a gun on the off-duty officer and that the alleged gunman was actually holding a cell phone instead. Rekia Boyd died in the hospital the following day. [9] [10],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_March_2012
2012-03-22,Lopez David John,26,Antioch,California,Lopez was shot to death by officers when he crashed into a police cruiser after a car chase. Detectives had attempted to pull him over for a parole violation. [8],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_March_2012
2012-03-23,Ekasala William,35,Malden,Massachusetts,Officers were pursuing Ekasala as a prime suspect in an armed bank robbery. Ekasala fired three times at two officers ordered people out of three vehicles and was driving the third toward an officer when he was fatally shot. [7],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_March_2012
2012-03-24,McDade Kendrec,19,Pasadena,California,The 19-year-old college student was killed by officers who opened fire on him in an alley believing him to be the culprit of a robbery at gunpoint that had been called in that evening. McDade was shot multiple times in the chest and died in a hospital. Officers claimed McDade had motioned at his waistband but the teenager was unarmed. The 26-year-old 911 caller who later admitted to lying about the gun was held by police for six days for suspicion of involuntary manslaughter and now faces deportation. [5] In December 2012 the shooters Jeffrey Newlen and Matthew Griffin were cleared of charges although they are still facing a lawsuit in connection with the shooting. [6],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_March_2012
2012-03-25,Bradley Eric,40,Chicago,Illinois,Officers responded to report of theft in progress. While attempting to arrest the suspect the man produced a handgun. A struggle ensued and the officers shot the man who was pronounced dead at the scene. [4],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_March_2012
2012-03-27,Nhekairo Tendai,18,Atlanta,Georgia,Officers were called to Nhekairo's apartment to investigate suspicious behavior. Nhekairo came out of his apartment naked and wielding two knives. Nhekairo allegedly attempted to attack one of the officers with the knives that officers then shot and killed him. [3],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_March_2012
2012-03-28,Bolden Kevin,19,Washington D.C.,Washington D.C.,Officers responded to report of drug activity and approached a group of people. One man ran and police pursued. The man drew a gun. Shots were exchanged and the man died at the scene. [2],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_March_2012
2012-03-29,Sever Ryan,28,Chardon,Ohio,Officers responded to a report of a domestic disturbance. The suspect had left the home and was found nearby. When approached by officers Sever pulled out a knife and “engaged” an officer who fatally shot him. [1],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_March_2012
2012-04-01,Lanning Troy Jr.,24,Wichita,Kansas,Officers were looking for a white vehicle after receiving a report of a drive-by shooting. They spotted a white car speeding and attempted a traffic stop and a 7-minute chase ensued. The vehicle was disabled after driving over a curb and four people fled on foot. One officer chased Lanning over a fence into a backyard. Lanning was carrying a bag and allegedly reaching into it and the officer shot him several times killing him. No weapons were found in Lanning's belongings or in the vehicle. [45],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_April_2012
2012-04-02,Hill James Richard,,Conroe,Texas,Officer responded to report of a disturbance at a business. Hill was armed with a shotgun and shot the responding officer hitting him in the face. Several other officers arrived and returned fire killing Hill. [44],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_April_2012
2012-04-03,Sutton Bobby Dale,,Tulsa,Oklahoma,Shot after attacking officers with a knife. [43],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_April_2012
2012-04-04,Chevalier Michael,,Las Vegas,Nevada,Police responded to a home where Chevalier was assaulting a woman and had taken her hostage. Chevalier armed with a gun shot at officers and threatened to kill himself and the woman. A SWAT team stormed the home and an officer shot and killed Chevalier. [39],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_April_2012
2012-04-04,May Andrew Jr,30,Joliet,Illinois,An officer on duty in a squad car struck and killed May as he reportedly walked 4 to 5 feet from the shoulder in the road. [40] [41],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_April_2012
2012-04-04,Miller Gregory Clark,52,San Antonio,Texas,Officers responded to report of a family disturbance. Miller advanced towards the officers swinging a machete. Miller was shot once in the chest and died at the scene. [42],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_April_2012
2012-04-05,Bradley Ahmede Jabbar,35,Austin,Texas,Officer Eric Copeland pulled over Bradley's vehicle for playing music too loudly when he believed he smelled marijuana and prepared to search the vehicle. Bradley fled in his car and then on foot where a series of struggles ensued and police say Bradley attempted to strangle the officer with his radio cord. Officer Copeland shot Bradley three times in the chest killing him. [37] [38],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_April_2012
